protocol,scenario,tlp_median_ns,tlp_ci_low,tlp_ci_high,tar_median,tar_ci_low,tar_ci_high,lsc_median,lsc_ci_low,lsc_ci_high,se_median,se_ci_low,se_ci_high,tp_median,tp_ci_low,tp_ci_high,rt_p50_median_ns,rt_p999_median_ns,rt_p9999_median_ns
bincode,book_large,5663.0,5643.0,5699.0,1.1710500000000001,1.1702,1.1726,0.077737,0.077531,0.077946,1646.0,1646.0,1646.0,217432.55,217037.1,217541.59999999998,4831.0,8527.0,13359.0
bincode,book_medium,1644.0,1639.0,1648.0,1.12445,1.1215,1.1268,0.012316,0.012228,0.0126665,350.0,350.0,350.0,741259.8500000001,737200.7,741711.25,1460.5,4441.0,7681.0
bincode,book_small,679.0,677.0,679.0,1.126,1.12355,1.1275,0.009934,0.009885,0.009934,108.0,108.0,108.0,1918119.95,1913988.3,1919426.3,604.0,988.0,4173.0
bincode,burst,1605.5,1587.0,1627.0,6.3414,6.22035,6.3695,0.07524,0.068273,0.100719,44.0,44.0,44.0,2712569.5,2696128.7,2731094.85,251.5,5721.0,6037.0
bincode,mixed,4175.0,3748.0,4231.0,15.29715,14.0112,16.5,0.075697,0.075397,0.08445749999999999,44.0,44.0,44.0,2615484.7,2605161.2,2659690.25,253.5,5747.0,6063.0
bincode,order,454.0,450.0,457.0,1.2304,1.2219,1.2342,0.034994,0.032609,0.03523,55.0,55.0,55.0,2710518.1500000004,2702450.3,2717347.0,369.0,731.5,5403.0
bincode,tick,356.0,346.5,360.5,1.31125,1.3022,1.3212,0.029304,0.0215985,0.0215985,44.0,44.0,44.0,3882216.3,3880511.7,3884663.5,271.5,767.0,16791.0
flatbuffers,book_large,1470.0,1460.0023653052585,1478.0,1.30625,1.2944,1.31075,0.036513000000000004,0.035907,0.038102,2800.0,2800.0,2800.0,937062.3,931369.6,941670.1,1126.5,4131.0,6007.0
flatbuffers,book_medium,889.0,874.0,896.5,1.31365,1.2929,1.3267,0.0132645,0.011852,0.013772,720.0,720.0,720.0,1551798.7000000002,1543766.8,1555200.1,676.0,1223.5,5971.0
flatbuffers,book_small,691.5,682.0,702.0,1.1526,1.14995,1.156,0.006774,0.006568,0.006791,240.0,240.0,240.0,1702545.85,1698007.3,1759272.65,595.5,1071.0,5867.0
flatbuffers,burst,896.5,887.0,913.0,2.04185,1.9911,2.0975,0.029445,0.026506,0.031746,88.0,88.0,88.0,1963047.4,1956869.2999999998,1977379.2,441.0,1364.5,3768.0
flatbuffers,mixed,1102.5,1091.0,1110.0,2.4637000000000002,2.4374,2.4888500000000002,0.035754,0.033482,0.0397025,88.0,88.0,88.0,1928281.5,1919214.1,1939614.2000000002,447.0,1372.5,3737.0
flatbuffers,order,785.5,775.0,791.0,1.14245,1.141,1.1439,0.024745,0.022825,0.025605,128.0,128.0,128.0,1682198.65,1674254.3,1689032.85,688.5,1076.5,4037.0
