protocol,scenario,seed,run_index,encode_p50_ns,encode_p99_ns,encode_p999_ns,encode_p9999_ns,encode_mean_ns,encode_min_ns,encode_max_ns,encode_stddev_ns,encode_cv,encode_tar_p99,encode_tar_p999,encode_tar_p9999,decode_p50_ns,decode_p99_ns,decode_p999_ns,decode_p9999_ns,decode_mean_ns,decode_min_ns,decode_max_ns,decode_stddev_ns,decode_cv,decode_tar_p99,decode_tar_p999,decode_tar_p9999,rt_p50_ns,rt_p99_ns,rt_p999_ns,rt_p9999_ns,rt_mean_ns,rt_min_ns,rt_max_ns,rt_stddev_ns,rt_cv,rt_lsc,rt_tar_p99,rt_tar_p999,rt_tar_p9999,size_median,size_mean,size_min,size_max,throughput_msg_sec,throughput_bytes_sec,throughput_corpus_exhausted,throughput_processed,total_messages,warmup_messages,measured_messages
bincode,book_large,42,0,2065,2451,5175,7567,2074.0,1643,9791,229.8,0.110800,1.1869,2.5061,3.6644,2833,3319,6131,8095,2844.2,2322,15903,334.7,0.117667,1.1715,2.1641,2.8574,4903,5735,8583,11911,4918.0,4004,18047,507.0,0.103086,0.077708,1.1697,1.7506,2.4293,1646.0,1645.3,1336,1958,215132.4,353954527.9,true,95000,100000,5000,95000
bincode,book_large,43,1,2038,2429,5191,9287,2048.9,1628,20463,257.5,0.125680,1.1919,2.5471,4.5569,2767,3255,6107,13599,2782.5,2278,23343,359.4,0.129158,1.1764,2.2071,4.9147,4811,5643,8671,16735,4831.2,3940,25775,535.8,0.110911,0.078154,1.1729,1.8023,3.4785,1646.0,1645.8,1336,1958,217605.5,358131207.2,true,95000,100000,5000,95000
bincode,book_large,44,2,2039,2425,5155,8927,2047.7,1636,22559,259.6,0.126770,1.1893,2.5282,4.3781,2767,3237,6035,11103,2776.9,2278,17039,340.3,0.122540,1.1699,2.1811,4.0126,4811,5623,8551,16207,4824.4,3926,25775,523.0,0.108399,0.077531,1.1688,1.7774,3.3687,1646.0,1646.6,1336,1958,217580.4,358260637.6,true,95000,100000,5000,95000
bincode,book_large,45,3,2038,2429,5095,9087,2047.3,1648,13591,244.4,0.119374,1.1919,2.5000,4.4588,2763,3247,6243,14127,2779.5,2288,18911,370.6,0.133318,1.1752,2.2595,5.1129,4811,5635,9207,16399,4826.6,3950,20703,538.3,0.111536,0.077946,1.1713,1.9137,3.4086,1646.0,1645.8,1336,1958,217164.2,357402036.0,true,95000,100000,5000,95000
bincode,book_large,46,4,2169,2563,5255,7319,2179.7,1751,17935,238.9,0.109582,1.1817,2.4228,3.3744,2785,3259,6055,10839,2795.6,2308,19135,342.5,0.122498,1.1702,2.1741,3.8919,4959,5779,8695,13655,4975.0,4082,21343,514.5,0.103412,0.075620,1.1654,1.7534,2.7536,1646.0,1645.4,1336,1958,217450.0,357799223.6,true,95000,100000,5000,95000
bincode,book_large,47,5,2053,2441,5099,7503,2061.0,1653,23551,255.2,0.123818,1.1890,2.4837,3.6547,2775,3245,6043,11287,2786.2,2278,24895,354.4,0.127205,1.1694,2.1777,4.0674,4831,5647,8551,16687,4847.0,3960,27023,527.7,0.108881,0.077210,1.1689,1.7700,3.4542,1646.0,1645.3,1336,1958,217709.2,358187849.1,true,95000,100000,5000,95000
bincode,book_large,48,6,2040,2429,5103,7559,2050.1,1640,15695,234.8,0.114539,1.1907,2.5015,3.7054,2763,3241,6003,8335,2775.1,2278,13911,327.7,0.118091,1.1730,2.1726,3.0166,4807,5639,8439,12623,4824.9,3950,18575,502.5,0.104144,0.077803,1.1731,1.7556,2.6260,1646.0,1645.3,1336,1958,217620.7,358041172.4,true,95000,100000,5000,95000
bincode,book_large,49,7,2069,2453,5211,8415,2076.8,1664,26351,260.5,0.125412,1.1856,2.5186,4.0672,2767,3229,6091,10767,2774.3,2290,25663,360.9,0.130098,1.1670,2.2013,3.8912,4839,5647,8599,16247,4850.8,3962,29503,536.4,0.110577,0.076669,1.1670,1.7770,3.3575,1646.0,1646.6,1336,1958,217141.8,357551029.4,true,95000,100000,5000,95000
bincode,book_large,50,8,2042,2435,5231,14343,2052.5,1641,19487,279.5,0.136156,1.1925,2.5617,7.0240,2825,3357,6259,15303,2849.0,2344,18063,385.4,0.135279,1.1883,2.2156,5.4170,4875,5747,8855,18399,4901.2,4004,22431,568.8,0.116062,0.081026,1.1789,1.8164,3.7742,1646.0,1645.1,1336,1958,215148.9,353939387.0,true,95000,100000,5000,95000
bincode,book_large,51,9,2065,2447,5159,9815,2073.2,1646,19535,252.1,0.121598,1.1850,2.4983,4.7530,2759,3237,6087,12823,2772.3,2296,19855,356.5,0.128589,1.1733,2.2062,4.6477,4827,5643,8567,17951,4845.2,3960,22751,528.7,0.109127,0.077274,1.1690,1.7748,3.7189,1644.0,1645.2,1336,1958,217971.6,358610277.3,true,95000,100000,5000,95000
bincode,book_large,52,10,2042,2431,5127,7211,2051.5,1653,13631,232.2,0.113191,1.1905,2.5108,3.5313,2821,3309,6027,8183,2831.0,2332,15727,335.3,0.118436,1.1730,2.1365,2.9007,4867,5707,8519,13143,4882.2,4010,17951,508.0,0.104044,0.078077,1.1726,1.7504,2.7004,1646.0,1646.3,1336,1958,215168.0,354238215.3,true,95000,100000,5000,95000
bincode,book_large,53,11,2041,2441,5199,12135,2053.8,1636,325119,1079.6,0.525664,1.1960,2.5473,5.9456,2771,3243,6075,323583,2820.0,2294,363519,3617.9,1.282946,1.1703,2.1923,116.7748,4819,5639,8535,327679,4873.6,3944,365823,3814.1,0.782608,0.077817,1.1702,1.7711,67.9973,1646.0,1646.0,1336,1956,217415.1,357855348.2,true,95000,100000,5000,95000
bincode,book_large,54,12,2042,2445,5115,6543,2050.5,1636,16335,240.8,0.117436,1.1974,2.5049,3.2042,2769,3239,5987,8591,2779.8,2278,18271,340.8,0.122605,1.1697,2.1622,3.1026,4815,5643,8431,16879,4830.0,3940,20431,512.1,0.106032,0.077674,1.1720,1.7510,3.5055,1646.0,1646.1,1336,1958,217637.1,358248489.9,true,95000,100000,5000,95000
bincode,book_large,55,13,2041,2431,5147,6495,2050.3,1637,20831,234.7,0.114467,1.1911,2.5218,3.1823,2771,3245,6083,10735,2781.9,2276,25759,347.9,0.125062,1.1711,2.1952,3.8741,4815,5639,8479,13575,4832.0,3950,28031,514.8,0.106541,0.077466,1.1711,1.7610,2.8193,1646.0,1645.7,1336,1958,217643.1,358175417.5,true,95000,100000,5000,95000
bincode,book_large,56,14,2046,2431,5091,7743,2053.6,1637,16895,237.9,0.115843,1.1882,2.4883,3.7845,2835,3371,6119,8823,2854.8,2334,17711,352.8,0.123599,1.1891,2.1584,3.1122,4883,5763,8583,12695,4908.1,3998,20079,526.6,0.107285,0.081098,1.1802,1.7577,2.5998,1646.0,1646.2,1336,1958,215041.4,353992485.4,true,95000,100000,5000,95000
